store,app_id,name,developer,rating,ratings_count,installs,price,free,contains_ads,in_app_purchases,iap_range,prices_mentioned,plan_keywords,mentions_subscription,mentions_trial,mentions_lifetime,url
appstore,6755035511,Cigarette Counter Tracker,Miguel Palomino,4.0,2.0,,0.0,True,,False,,,pro; subscription,True,False,False,https://apps.apple.com/in/app/cigarette-counter-tracker/id6755035511?uo=4
appstore,1513092692,Smoking-Log,Kei Suefuji,4.7,20.0,,0.0,True,,False,,,monthly; pro; yearly,False,False,False,https://apps.apple.com/in/app/smoking-log/id1513092692?uo=4
appstore,6478089145,Daily Smoking Counter,Jakir Hossain,5.0,5.0,,0.0,True,,False,,,pro,False,False,False,https://apps.apple.com/in/app/daily-smoking-counter/id6478089145?uo=4
appstore,1191913194,Smoking Log,hideko ogawa,5.0,1.0,,0.0,True,,False,,,,False,False,False,https://apps.apple.com/in/app/smoking-log/id1191913194?uo=4
appstore,1135429440,Cigs Counter - Quit Smoking,Tatiana Berezovsky,0.0,0.0,,0.0,True,,False,,,pro; subscription,True,False,False,https://apps.apple.com/in/app/cigs-counter-quit-smoking/id1135429440?uo=4
appstore,6759210124,No Smoking: Cigarette Tracker,Ankit Seth,0.0,0.0,,0.0,True,,False,,,pro,False,False,False,https://apps.apple.com/in/app/no-smoking-cigarette-tracker/id6759210124?uo=4
appstore,1609277771,WHO QuitTobacco,World Health Organization - SEARO,4.2,5.0,,0.0,True,,False,,,monthly; pro; yearly,False,False,False,https://apps.apple.com/in/app/who-quittobacco/id1609277771?uo=4
appstore,1059270152,Quit Dipping Smokeless Tobacco,Catrnja Dev,4.0,2.0,,0.0,True,,False,,,pro,False,False,False,https://apps.apple.com/in/app/quit-dipping-smokeless-tobacco/id1059270152?uo=4
appstore,6760564135,Quit Smoking Tracker - SmoX,Vladimir Pchelyakov,0.0,0.0,,0.0,True,,False,,,,False,False,False,https://apps.apple.com/in/app/quit-smoking-tracker-smox/id6760564135?uo=4
appstore,494552000,quitSTART - Quit Smoking,ICF International,4.44186,43.0,,0.0,True,,False,,,pro,False,False,False,https://apps.apple.com/in/app/quitstart-quit-smoking/id494552000?uo=4
appstore,6673904420,Alok - Quit Tobacco,Alex Therapeutics AB,5.0,1.0,,0.0,True,,False,,,pro,False,False,False,https://apps.apple.com/in/app/alok-quit-tobacco/id6673904420?uo=4
appstore,440660337,Quit Smoking App,"Tobacco Control Office, Department of Health",0.0,0.0,,0.0,True,,False,,,pro,False,False,False,https://apps.apple.com/in/app/quit-smoking-app/id440660337?uo=4
